Date,Open,High,Low,Close,AdjClose,Volume
30-11-2018,1065.0,1068.775024,1055.0,1064.224976,1050.754883,6520462.0
03-12-2018,1065.5,1071.0,1053.449951,1056.650024,1043.275879,5399928.0
04-12-2018,1052.699951,1055.5,1039.300049,1042.775024,1029.576538,4078710.0
05-12-2018,1039.0,1052.650024,1037.974976,1049.599976,1036.315063,5899422.0
06-12-2018,1044.849976,1050.824951,1042.5,1048.525024,1035.253784,5865126.0
07-12-2018,1053.349976,1059.0,1040.150024,1053.800049,1040.461914,4951960.0
10-12-2018,1032.949951,1052.400024,1032.949951,1044.375,1031.15625,5457528.0
11-12-2018,1028.0,1035.650024,1016.0,1029.775024,1016.741089,9452890.0
12-12-2018,1033.474976,1044.900024,1030.050049,1042.650024,1029.453125,5685244.0
13-12-2018,1047.5,1062.5,1045.650024,1050.650024,1037.351929,3532118.0
14-12-2018,1052.449951,1059.0,1044.025024,1047.849976,1034.58728,3079142.0
17-12-2018,1052.0,1066.300049,1049.5,1065.099976,1051.618896,4218662.0
18-12-2018,1062.0,1069.5,1051.300049,1067.724976,1054.210693,3706984.0
19-12-2018,1066.550049,1079.699951,1056.775024,1061.724976,1048.286621,4504948.0
20-12-2018,1056.275024,1070.224976,1051.324951,1068.724976,1055.19812,3990238.0
21-12-2018,1067.0,1074.550049,1054.525024,1055.574951,1042.214478,5110154.0
24-12-2018,1052.0,1052.0,1038.675049,1040.324951,1027.157471,2800744.0
26-12-2018,1038.5,1063.5,1034.5,1061.175049,1047.74353,3800958.0
27-12-2018,1066.5,1069.099976,1049.224976,1052.525024,1039.203125,5819934.0
28-12-2018,1058.675049,1068.875,1057.75,1061.449951,1048.015015,4707806.0
31-12-2018,1068.5,1068.5,1058.349976,1060.849976,1047.422729,2933264.0
01-01-2019,1063.824951,1075.5,1052.800049,1074.050049,1060.455688,3186720.0
02-01-2019,1071.400024,1073.75,1059.849976,1064.25,1050.779785,4067116.0
03-01-2019,1062.099976,1064.125,1051.5,1055.900024,1042.5354,6385832.0
04-01-2019,1057.625,1064.25,1055.175049,1058.724976,1045.324707,3643560.0
07-01-2019,1063.849976,1067.675049,1059.0,1060.324951,1046.904297,2693506.0
08-01-2019,1061.0,1061.75,1048.324951,1051.5,1038.191162,4171730.0
09-01-2019,1059.0,1060.675049,1051.300049,1058.400024,1045.003784,4284314.0
10-01-2019,1058.5,1061.900024,1046.324951,1054.25,1040.906372,3845770.0
11-01-2019,1056.900024,1062.0,1054.0,1055.949951,1042.584717,3204020.0
14-01-2019,1054.949951,1054.949951,1049.224976,1050.824951,1037.524658,2427580.0
15-01-2019,1052.525024,1063.25,1051.0,1060.949951,1047.521484,2543778.0
16-01-2019,1060.025024,1062.5,1054.125,1060.099976,1046.682251,2626226.0
17-01-2019,1062.625,1067.949951,1056.675049,1066.150024,1052.65564,4120114.0
18-01-2019,1067.5,1069.5,1057.275024,1065.125,1051.643677,2603988.0
21-01-2019,1069.974976,1083.25,1063.25,1074.074951,1060.480347,8780756.0
22-01-2019,1073.0,1073.400024,1064.525024,1067.925049,1054.408203,4398488.0
23-01-2019,1067.0,1067.925049,1050.724976,1052.699951,1039.375854,3812144.0
24-01-2019,1055.0,1060.824951,1048.949951,1051.125,1037.820801,5055786.0
25-01-2019,1046.5,1055.0,1045.0,1048.0,1034.735352,5631118.0
28-01-2019,1045.0,1051.025024,1038.375,1042.074951,1028.885254,7680218.0
29-01-2019,1039.125,1041.5,1026.5,1028.800049,1015.778442,7381394.0
30-01-2019,1028.625,1028.625,1014.0,1017.349976,1004.473267,9257080.0
31-01-2019,1015.5,1044.875,1011.0,1039.974976,1026.81189,8289702.0
01-02-2019,1039.974976,1058.5,1038.300049,1045.224976,1031.995361,7827094.0
04-02-2019,1047.5,1056.5,1041.324951,1052.449951,1039.128906,3969144.0
05-02-2019,1054.0,1059.5,1048.5,1057.025024,1043.64624,4345144.0
06-02-2019,1058.125,1063.5,1056.800049,1061.324951,1047.891724,5437842.0
07-02-2019,1062.525024,1065.0,1052.925049,1058.625,1045.225952,3608654.0
08-02-2019,1056.0,1072.474976,1053.324951,1061.324951,1047.891724,6117822.0
11-02-2019,1056.650024,1071.449951,1056.650024,1069.824951,1056.28418,3518182.0
12-02-2019,1069.0,1074.0,1062.400024,1064.849976,1051.37207,4886194.0
14-02-2019,1070.0,1070.0,1052.800049,1055.099976,1041.745483,3720694.0
15-02-2019,1053.675049,1054.050049,1039.099976,1050.324951,1037.030884,4208262.0
18-02-2019,1053.400024,1059.0,1043.0,1044.949951,1031.723877,3569372.0
19-02-2019,1044.849976,1054.074951,1039.099976,1042.025024,1028.835938,2634318.0
20-02-2019,1044.25,1055.5,1040.949951,1054.175049,1040.832153,2446250.0
21-02-2019,1050.849976,1059.974976,1046.800049,1057.949951,1044.559448,2630772.0
22-02-2019,1059.699951,1064.050049,1044.550049,1045.724976,1032.489136,4445354.0
25-02-2019,1047.574951,1064.974976,1047.574951,1062.699951,1049.249268,4070298.0
26-02-2019,1055.625,1062.5,1050.550049,1055.324951,1041.967651,4803714.0
27-02-2019,1058.050049,1062.224976,1044.074951,1046.125,1032.884033,3515046.0
28-02-2019,1046.550049,1052.925049,1036.599976,1038.775024,1025.627197,5822688.0
01-03-2019,1043.125,1050.449951,1038.5,1041.675049,1028.490601,4676464.0
05-03-2019,1044.449951,1055.550049,1035.0,1053.550049,1040.21521,5918638.0
